trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.01, 'e': 0.9998000066665778}",20,0,-31.364462186027694,"{0: 13, 1: 4, 2: 3, 3: 0, 4: 0}",0
2,False,"{'a': 0.01, 'e': 0.9995500337489875}",20,0,-91.94437102872332,"{0: 10, 1: 6, 2: 3, 3: 0, 4: 1}",0
3,False,"{'a': 0.01, 'e': 0.9992001066609779}",20,0,-152.14692734576715,"{0: 11, 1: 2, 2: 3, 3: 2, 4: 2}",0
4,False,"{'a': 0.01, 'e': 0.9987502603949663}",20,0,-36.12560397125366,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
5,False,"{'a': 0.01, 'e': 0.9982005399352042}",20,0,-82.88050843844701,"{0: 9, 1: 4, 2: 7, 3: 0, 4: 0}",0
6,False,"{'a': 0.01, 'e': 0.9975510002532796}",25,0,-119.45795647930677,"{0: 15, 1: 5, 2: 3, 3: 0, 4: 2}",0
7,False,"{'a': 0.01, 'e': 0.9968017063026194}",25,0,-89.41566515304768,"{0: 17, 1: 1, 2: 6, 3: 0, 4: 1}",0
8,False,"{'a': 0.01, 'e': 0.9959527330119943}",20,0,-68.94218745295288,"{0: 14, 1: 3, 2: 1, 3: 1, 4: 1}",0
9,False,"{'a': 0.01, 'e': 0.9950041652780257}",25,0,-171.88748920641686,"{0: 13, 1: 4, 2: 5, 3: 0, 4: 3}",0
10,False,"{'a': 0.01, 'e': 0.9939560979566968}",25,0,-190.9075708685328,"{0: 11, 1: 6, 2: 5, 3: 0, 4: 3}",0
11,False,"{'a': 0.01, 'e': 0.9928086358538663}",20,0,-91.92847103008332,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
12,False,"{'a': 0.01, 'e': 0.9915618937147881}",20,0,-210.13079435606952,"{0: 7, 1: 3, 2: 6, 3: 1, 4: 3}",0
13,False,"{'a': 0.01, 'e': 0.9902159962126371}",25,0,-74.52087112536955,"{0: 18, 1: 1, 2: 5, 3: 0, 4: 1}",0
14,False,"{'a': 0.01, 'e': 0.9887710779360422}",20,0,-26.65949079717805,"{0: 13, 1: 6, 2: 1, 3: 0, 4: 0}",0
15,False,"{'a': 0.01, 'e': 0.9872272833756269}",20,0,-150.3441529896601,"{0: 9, 1: 3, 2: 6, 3: 0, 4: 2}",0
16,False,"{'a': 0.01, 'e': 0.9855847669095608}",25,0,-167.41749465446358,"{0: 14, 1: 3, 2: 5, 3: 0, 4: 3}",0
17,False,"{'a': 0.01, 'e': 0.9838436927881214}",20,0,-148.22766337417016,"{0: 10, 1: 2, 2: 5, 3: 1, 4: 2}",0
18,False,"{'a': 0.01, 'e': 0.9820042351172703}",25,5,-79.68769138495234,"{0: 15, 1: 2, 2: 1, 3: 0, 4: 2}",1
19,False,"{'a': 0.01, 'e': 0.9800665778412416}",25,0,-80.66930827160225,"{0: 16, 1: 3, 2: 5, 3: 0, 4: 1}",0
20,False,"{'a': 0.01, 'e': 0.9780309147241483}",20,14,-39.62312535882783,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 1}",1
21,False,"{'a': 0.01, 'e': 0.9758974493306055}",25,0,-130.36296544393832,"{0: 15, 1: 2, 2: 6, 3: 0, 4: 2}",0
22,False,"{'a': 0.01, 'e': 0.9736663950053749}",30,0,-251.6133472161485,"{0: 16, 1: 3, 2: 6, 3: 0, 4: 5}",0
23,False,"{'a': 0.01, 'e': 0.9713379748520297}",25,0,-129.93178395710171,"{0: 11, 1: 4, 2: 8, 3: 2, 4: 0}",0
24,False,"{'a': 0.01, 'e': 0.9689124217106447}",20,0,-64.52233603868467,"{0: 11, 1: 3, 2: 6, 3: 0, 4: 0}",0
25,False,"{'a': 0.01, 'e': 0.9663899781345132}",30,0,-87.13304594430225,"{0: 21, 1: 2, 2: 6, 3: 0, 4: 1}",0
26,False,"{'a': 0.01, 'e': 0.9637708963658905}",25,0,-82.41176673093938,"{0: 15, 1: 5, 2: 4, 3: 0, 4: 1}",0
27,False,"{'a': 0.01, 'e': 0.9610554383107709}",25,0,-121.06028510954944,"{0: 15, 1: 4, 2: 4, 3: 0, 4: 2}",0
28,False,"{'a': 0.01, 'e': 0.9582438755126972}",20,0,-121.80471553939311,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
29,False,"{'a': 0.01, 'e': 0.955336489125606}",25,8,-92.34157455039248,"{0: 11, 1: 2, 2: 2, 3: 0, 4: 2}",1
30,False,"{'a': 0.01, 'e': 0.9523335698857134}",20,0,-75.58293672784464,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
31,False,"{'a': 0.01, 'e': 0.9492354180824408}",25,4,-56.87806761922553,"{0: 14, 1: 5, 2: 1, 3: 0, 4: 1}",1
32,False,"{'a': 0.01, 'e': 0.946042343528387}",25,0,-123.82207929963904,"{0: 17, 1: 0, 2: 6, 3: 0, 4: 2}",0
33,False,"{'a': 0.01, 'e': 0.9427546655283462}",20,12,-15.098892820148103,"{0: 5, 1: 1, 2: 2, 3: 0, 4: 0}",1
34,False,"{'a': 0.01, 'e': 0.9393727128473789}",25,0,-98.23380145101024,"{0: 13, 1: 4, 2: 7, 3: 1, 4: 0}",0
35,False,"{'a': 0.01, 'e': 0.9358968236779348}",35,0,-272.4601522208123,"{0: 14, 1: 10, 2: 7, 3: 0, 4: 4}",0
36,False,"{'a': 0.01, 'e': 0.9323273456060345}",20,0,-100.22688956026786,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",0
37,False,"{'a': 0.01, 'e': 0.9286646355765102}",30,0,-101.26927503854958,"{0: 23, 1: 1, 2: 4, 3: 0, 4: 2}",0
38,False,"{'a': 0.01, 'e': 0.9249090598573131}",35,0,-132.4073313554474,"{0: 23, 1: 4, 2: 6, 3: 0, 4: 2}",0
39,False,"{'a': 0.01, 'e': 0.9210609940028851}",25,0,-115.04861851355119,"{0: 15, 1: 6, 2: 2, 3: 0, 4: 2}",0
40,False,"{'a': 0.01, 'e': 0.9171208228166051}",25,0,-50.35718018595123,"{0: 19, 1: 3, 2: 2, 3: 0, 4: 1}",0
41,False,"{'a': 0.01, 'e': 0.9130889403123083}",20,0,-80.21992040715064,"{0: 13, 1: 3, 2: 2, 3: 1, 4: 1}",0
42,False,"{'a': 0.01, 'e': 0.9089657496748851}",30,0,-93.57969870499112,"{0: 20, 1: 4, 2: 4, 3: 1, 4: 1}",0
43,False,"{'a': 0.01, 'e': 0.9047516632199635}",20,0,-55.04372209243782,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
44,False,"{'a': 0.01, 'e': 0.9004471023526769}",30,0,-279.58161548881037,"{0: 16, 1: 4, 2: 4, 3: 0, 4: 6}",0
45,False,"{'a': 0.01, 'e': 0.8960524975255253}",20,8,-25.93280336310324,"{0: 9, 1: 0, 2: 2, 3: 1, 4: 0}",1
46,False,"{'a': 0.01, 'e': 0.8915682881953289}",35,0,-229.31593674910593,"{0: 22, 1: 2, 2: 5, 3: 2, 4: 4}",0
47,False,"{'a': 0.01, 'e': 0.8869949227792842}",20,0,-145.1193787886815,"{0: 12, 1: 1, 2: 4, 3: 0, 4: 3}",0
